[12:00:35] [INFO] received Windows console close event; shutting log-core down
[12:05:45] [INFO] received Windows console close event; shutting log-core down
[22:28:00] [INFO] received Windows console close event; shutting log-core down
[22:33:46] [INFO] received Windows console close event; shutting log-core down
[22:36:30] [INFO] received Windows console close event; shutting log-core down
[22:39:13] [INFO] received Windows console close event; shutting log-core down
[22:42:02] [INFO] received Windows console close event; shutting log-core down
[22:43:29] [INFO] received Windows console close event; shutting log-core down
[22:46:59] [INFO] received Windows console close event; shutting log-core down
[22:50:26] [INFO] received Windows console close event; shutting log-core down
[12:40:51] [INFO] received Windows console close event; shutting log-core down
[14:10:01] [INFO] received Windows console close event; shutting log-core down
[14:50:57] [INFO] received Windows console close event; shutting log-core down
[19:09:11] [INFO] received Windows console close event; shutting log-core down
[19:19:30] [INFO] received Windows console close event; shutting log-core down
[20:04:38] [INFO] received Windows console close event; shutting log-core down
[20:10:14] [INFO] received Windows console close event; shutting log-core down
[13:18:41] [INFO] received Windows console close event; shutting log-core down
[13:27:15] [INFO] received Windows console close event; shutting log-core down
[13:30:05] [INFO] received Windows console close event; shutting log-core down
[14:47:32] [INFO] received Windows console close event; shutting log-core down
[14:51:32] [INFO] received Windows console close event; shutting log-core down
[18:05:48] [INFO] received Windows console close event; shutting log-core down
[18:12:25] [INFO] received Windows console close event; shutting log-core down
[18:14:33] [INFO] received Windows console close event; shutting log-core down
[18:26:34] [INFO] received Windows console close event; shutting log-core down
[18:29:48] [INFO] received Windows console close event; shutting log-core down
[18:35:50] [INFO] received Windows console close event; shutting log-core down
[18:37:09] [INFO] received Windows console close event; shutting log-core down
[18:46:23] [INFO] received Windows console close event; shutting log-core down
[18:50:30] [INFO] received Windows console close event; shutting log-core down
[18:50:34] [INFO] received Windows console close event; shutting log-core down
[18:51:38] [INFO] received Windows console close event; shutting log-core down
[18:53:16] [INFO] received Windows console close event; shutting log-core down
[18:57:09] [INFO] received Windows console close event; shutting log-core down
[19:15:17] [INFO] received Windows console close event; shutting log-core down
[19:15:30] [INFO] received Windows console close event; shutting log-core down
[20:52:36] [INFO] received Windows console close event; shutting log-core down
[20:59:29] [INFO] received Windows console close event; shutting log-core down
[21:03:18] [INFO] received Windows console close event; shutting log-core down
[21:17:25] [INFO] received Windows console close event; shutting log-core down
[21:17:33] [INFO] received Windows console close event; shutting log-core down
[21:17:53] [INFO] received Windows console close event; shutting log-core down
[21:18:01] [INFO] received Windows console close event; shutting log-core down
[21:19:40] [INFO] received Windows console close event; shutting log-core down
[21:23:52] [INFO] received Windows console close event; shutting log-core down
[21:25:46] [INFO] received Windows console close event; shutting log-core down
[21:37:02] [INFO] received Windows console close event; shutting log-core down
[21:41:44] [INFO] received Windows console close event; shutting log-core down
[21:44:11] [INFO] received Windows console close event; shutting log-core down
[21:50:58] [INFO] received Windows console close event; shutting log-core down
[21:52:08] [INFO] received Windows console close event; shutting log-core down
[08:56:14] [INFO] received Windows console close event; shutting log-core down
[11:41:57] [INFO] received Windows console close event; shutting log-core down
[11:47:02] [INFO] received Windows console close event; shutting log-core down
[11:48:16] [INFO] received Windows console close event; shutting log-core down
[11:49:13] [INFO] received Windows console close event; shutting log-core down
[11:50:11] [INFO] received Windows console close event; shutting log-core down
[11:50:44] [INFO] received Windows console close event; shutting log-core down
[11:51:09] [INFO] received Windows console close event; shutting log-core down
[11:51:47] [INFO] received Windows console close event; shutting log-core down
[11:59:49] [INFO] received Windows console close event; shutting log-core down
[12:00:34] [INFO] received Windows console close event; shutting log-core down
[12:01:58] [INFO] received Windows console close event; shutting log-core down
[12:06:20] [INFO] received Windows console close event; shutting log-core down
[13:32:57] [INFO] received Windows console close event; shutting log-core down
[13:47:59] [INFO] received Windows console close event; shutting log-core down
[14:27:32] [INFO] received Windows console close event; shutting log-core down
[15:48:20] [INFO] received Windows console close event; shutting log-core down
[15:58:53] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[15:59:45] [INFO] received Windows console close event; shutting log-core down
[16:03:02] [INFO] received Windows console close event; shutting log-core down
[16:06:59] [INFO] received Windows console close event; shutting log-core down
[22:24:10] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[22:24:15] [INFO] received Windows console close event; shutting log-core down
[22:32:37] [INFO] received Windows console close event; shutting log-core down
[22:34:27] [INFO] received Windows console close event; shutting log-core down
[22:34:58] [INFO] received Windows console close event; shutting log-core down
[22:35:01] [INFO] received Windows console close event; shutting log-core down
[22:35:41] [INFO] received Windows console close event; shutting log-core down
[22:36:29] [INFO] received Windows console close event; shutting log-core down
[18:23:53] [INFO] received Windows console close event; shutting log-core down
[18:26:25] [INFO] received Windows console close event; shutting log-core down
[21:35:42] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[21:35:44] [INFO] received Windows console close event; shutting log-core down
[21:39:37] [INFO] received Windows console close event; shutting log-core down
[21:44:09] [INFO] received Windows console close event; shutting log-core down
[20:08:03] [INFO] received Windows console close event; shutting log-core down
[10:40:44] [INFO] received Windows console close event; shutting log-core down
[10:57:32] [INFO] received Windows console close event; shutting log-core down
[12:50:43] [INFO] received Windows console close event; shutting log-core down
[12:57:15] [INFO] received Windows console close event; shutting log-core down
[21:08:22] [INFO] received Windows console close event; shutting log-core down
[23:09:12] [INFO] received Windows console close event; shutting log-core down
[23:26:17] [INFO] received Windows console close event; shutting log-core down
[13:43:50] [INFO] received Windows console close event; shutting log-core down
[13:53:07] [INFO] received Windows console close event; shutting log-core down
[14:02:29] [INFO] received Windows console close event; shutting log-core down
[15:49:58] [INFO] received Windows console close event; shutting log-core down
[14:31:36] [INFO] received Windows console close event; shutting log-core down
[14:33:05] [INFO] received Windows console close event; shutting log-core down
[14:35:45] [INFO] received Windows console close event; shutting log-core down
[14:35:59] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[14:39:27] [INFO] received Windows console close event; shutting log-core down
[14:39:38] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[14:55:30] [INFO] received Windows console close event; shutting log-core down
[17:08:34] [INFO] received Windows console close event; shutting log-core down
[17:09:54] [INFO] received Windows console close event; shutting log-core down
[17:12:12] [INFO] received Windows console close event; shutting log-core down
[18:35:39] [INFO] received Windows console close event; shutting log-core down
[18:42:38] [INFO] received Windows console close event; shutting log-core down
[13:58:08] [INFO] received Windows console close event; shutting log-core down
[18:55:15] [INFO] received Windows console close event; shutting log-core down
[19:01:20] [INFO] received Windows console close event; shutting log-core down
[19:04:05] [INFO] received Windows console close event; shutting log-core down
[19:18:11] [INFO] received Windows console close event; shutting log-core down
[19:28:12] [INFO] received Windows console close event; shutting log-core down
[11:26:05] [INFO] received Windows console close event; shutting log-core down
[11:28:40] [INFO] received Windows console close event; shutting log-core down
[11:33:22] [INFO] received Windows console close event; shutting log-core down
[11:37:40] [INFO] received Windows console close event; shutting log-core down
[11:42:35] [INFO] received Windows console close event; shutting log-core down
[11:42:41] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[11:49:29] [INFO] received Windows console close event; shutting log-core down
[11:51:40] [INFO] received Windows console close event; shutting log-core down
[12:02:37] [INFO] received Windows console close event; shutting log-core down
[18:12:34] [INFO] received Windows console close event; shutting log-core down
[18:14:08] [INFO] received Windows console close event; shutting log-core down
[18:17:00] [INFO] received Windows console close event; shutting log-core down
[18:21:35] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[18:23:33] [INFO] received Windows console close event; shutting log-core down
[18:24:42] [INFO] received Windows console close event; shutting log-core down
[15:53:52] [INFO] received Windows console close event; shutting log-core down
[15:54:51] [INFO] received Windows console close event; shutting log-core down
[15:58:06] [INFO] received Windows console close event; shutting log-core down
[16:03:16] [INFO] received Windows console close event; shutting log-core down
[20:10:35] [INFO] received Windows console close event; shutting log-core down
[20:13:41] [INFO] received Windows console close event; shutting log-core down
[20:19:30] [INFO] received Windows console close event; shutting log-core down
[20:24:35] [INFO] received Windows console close event; shutting log-core down
[20:31:20] [INFO] received Windows console close event; shutting log-core down
[20:35:38] [INFO] received Windows console close event; shutting log-core down
[18:01:11] [INFO] received Windows console close event; shutting log-core down
[22:21:49] [INFO] received Windows console close event; shutting log-core down
[22:23:43] [INFO] received Windows console close event; shutting log-core down
[10:01:43] [INFO] received Windows console close event; shutting log-core down
[17:29:20] [INFO] received Windows console close event; shutting log-core down
[17:30:28] [INFO] received Windows console close event; shutting log-core down
[17:34:22] [INFO] received Windows console close event; shutting log-core down
[17:36:23] [INFO] received Windows console close event; shutting log-core down
[17:38:57] [INFO] received Windows console close event; shutting log-core down
[17:41:22] [INFO] received Windows console close event; shutting log-core down
[17:42:02] [INFO] received Windows console close event; shutting log-core down
[17:42:44] [INFO] received Windows console close event; shutting log-core down
[20:32:26] [INFO] received Windows console close event; shutting log-core down
[20:34:27] [INFO] received Windows console close event; shutting log-core down
[20:37:54] [INFO] received Windows console close event; shutting log-core down
[20:39:06] [INFO] received Windows console close event; shutting log-core down
[20:42:16] [INFO] received Windows console close event; shutting log-core down
[10:11:00] [INFO] received Windows console close event; shutting log-core down
[10:12:15] [INFO] received Windows console close event; shutting log-core down
[10:13:57] [INFO] received Windows console close event; shutting log-core down
[10:15:46] [INFO] received Windows console close event; shutting log-core down
[10:18:52] [INFO] received Windows console close event; shutting log-core down
[12:14:50] [INFO] received Windows console close event; shutting log-core down
[12:42:15] [INFO] received Windows console close event; shutting log-core down
[12:43:37] [INFO] received Windows console close event; shutting log-core down
[15:09:51] [INFO] received Windows console close event; shutting log-core down
[15:11:56] [INFO] received Windows console close event; shutting log-core down
[15:14:18] [INFO] received Windows console close event; shutting log-core down
[15:15:15] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[15:17:29] [INFO] received Windows console close event; shutting log-core down
[15:18:41] [INFO] received Windows console close event; shutting log-core down
[16:41:28] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[16:43:56] [INFO] received Windows console close event; shutting log-core down
[16:45:16] [INFO] received Windows console close event; shutting log-core down
[16:46:28] [INFO] received Windows console close event; shutting log-core down
[16:48:47] [INFO] received Windows console close event; shutting log-core down
[16:50:44] [INFO] received Windows console close event; shutting log-core down
[16:53:31] [INFO] received Windows console close event; shutting log-core down
[16:55:08] [INFO] received Windows console close event; shutting log-core down
[16:56:52] [INFO] received Windows console close event; shutting log-core down
[16:59:17] [INFO] received Windows console close event; shutting log-core down
[17:00:36] [INFO] received Windows console close event; shutting log-core down
[17:01:55] [INFO] received Windows console close event; shutting log-core down
[17:03:51] [INFO] received Windows console close event; shutting log-core down
[17:05:01] [INFO] received Windows console close event; shutting log-core down
[17:06:52] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[17:06:53] [INFO] received Windows console close event; shutting log-core down
[17:12:00] [INFO] received Windows console close event; shutting log-core down
[17:14:36] [INFO] received Windows console close event; shutting log-core down
[17:16:30] [INFO] received Windows console close event; shutting log-core down
[17:17:53] [INFO] received Windows console close event; shutting log-core down
[17:32:42] [INFO] received Windows console close event; shutting log-core down
[17:34:42] [INFO] received Windows console close event; shutting log-core down
[19:08:20] [INFO] received Windows console close event; shutting log-core down
[19:11:39] [INFO] received Windows console close event; shutting log-core down
[19:13:49] [INFO] received Windows console close event; shutting log-core down
[19:15:07] [INFO] received Windows console close event; shutting log-core down
[19:17:22] [INFO] received Windows console close event; shutting log-core down
[19:19:34] [INFO] received Windows console close event; shutting log-core down
[19:20:59] [INFO] received Windows console close event; shutting log-core down
[19:30:43] [INFO] received Windows console close event; shutting log-core down
[19:34:12] [INFO] received Windows console close event; shutting log-core down
[19:36:26] [INFO] received Windows console close event; shutting log-core down
[19:40:45] [INFO] received Windows console close event; shutting log-core down
[19:43:19] [INFO] received Windows console close event; shutting log-core down
[19:46:30] [INFO] received Windows console close event; shutting log-core down
[22:49:26] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[22:49:28] [INFO] received Windows console close event; shutting log-core down
[22:51:27] [INFO] received Windows console close event; shutting log-core down
[22:54:13] [INFO] received Windows console close event; shutting log-core down
